amountOfVerbs,amountOfPronouns,amountOfNouns,amountOfAdjectives,amountOfAdverbs,restOfWords,totalAmount,id
1,1,1,1,0,0,4,702
1,0,2,1,1,0,5,704
6,1,6,2,3,2,20,705
9,1,7,1,0,6,24,706
2,0,5,1,1,3,12,709
2,0,7,2,0,5,16,710
2,0,7,2,0,5,16,712
2,0,7,2,0,5,16,713
4,0,7,1,0,5,17,714
1,0,3,0,0,3,7,716
2,0,7,2,0,5,16,717
1,0,6,1,0,4,12,719
1,0,3,0,0,0,4,720
1,2,15,0,1,3,22,721
2,0,7,2,0,5,16,724
2,0,7,2,0,5,16,725
5,3,6,3,0,4,21,726
1,0,9,0,0,4,14,727
7,2,2,0,1,3,15,728
2,0,7,2,0,5,16,729
2,0,7,2,0,5,16,730
2,0,7,2,0,5,16,731
2,1,7,2,0,5,17,732
2,0,7,2,0,5,16,734
3,2,2,1,2,2,12,735
2,0,7,2,0,5,16,736
2,0,7,2,0,5,16,737
2,0,7,2,0,5,16,738
6,2,11,1,0,5,25,739
2,0,7,2,0,5,16,740
2,2,2,1,0,2,9,744
2,0,7,2,0,5,16,745
1,1,9,1,0,1,13,746
1,1,7,1,0,2,12,748
1,0,2,0,0,3,6,751
0,0,15,0,0,1,16,752
0,0,14,0,0,3,17,753
1,2,6,1,0,0,10,754
3,4,6,2,1,5,21,755
0,0,13,1,0,1,15,758
1,0,9,2,0,4,16,759
2,0,8,1,0,4,15,761
0,0,9,1,0,2,12,762
1,0,9,1,0,5,16,763
2,0,6,0,1,9,18,767
3,1,7,4,1,2,18,770
0,0,16,1,0,1,18,773
1,0,14,2,0,3,20,774
4,1,4,0,0,6,15,775
1,0,10,2,0,2,15,777
3,0,6,0,0,1,10,779
0,0,17,0,0,4,21,781
1,0,10,0,0,6,17,782
3,0,8,1,0,6,18,783
3,1,6,1,0,0,11,784
0,0,3,2,1,0,6,786
1,2,6,1,1,3,14,787
0,0,4,3,0,3,10,788
1,1,8,1,0,5,16,790
1,0,6,0,0,0,7,791
1,0,16,1,0,5,23,794
1,0,2,1,1,3,8,795
0,0,13,1,0,3,17,796
0,0,14,0,0,1,15,797
2,0,7,0,0,3,12,798
1,1,11,2,0,4,19,799
0,0,13,0,0,1,14,800
2,3,3,1,2,4,15,801
2,3,9,1,0,6,21,802
2,1,6,0,0,3,12,803
1,0,10,3,0,7,21,804
3,0,9,0,0,7,19,805
2,1,9,1,1,7,21,806
0,0,8,0,0,0,8,807
2,1,4,0,1,3,11,808
2,2,2,1,0,3,10,809
1,1,7,1,0,2,12,810
2,1,7,0,1,2,13,812
2,0,5,3,0,8,18,814
1,1,7,1,0,1,11,815
0,0,1,3,0,0,4,817
1,1,10,1,2,7,22,818
2,1,1,1,1,3,9,819
0,0,3,0,0,2,5,820
0,0,13,1,0,3,17,822
3,0,9,0,0,7,19,823
1,0,9,0,1,3,14,826
3,2,7,3,0,5,20,828
2,0,8,0,2,3,15,829
2,0,4,0,1,3,10,832
3,0,5,1,2,3,14,833
2,0,8,0,2,4,16,834
3,0,5,1,0,0,9,835
2,0,7,0,2,3,14,836
2,0,8,1,2,3,16,837
2,1,11,1,2,4,21,838
5,0,8,1,0,2,16,840
2,0,3,2,1,3,11,841
3,0,9,2,0,2,16,842
2,0,8,0,2,4,16,843
1,0,16,0,0,5,22,845
2,0,9,2,1,4,18,846
2,0,8,0,2,3,15,848
3,0,9,0,2,4,18,849
2,0,13,0,2,4,21,851
2,0,6,2,2,6,18,852
2,0,8,0,2,3,15,853
2,0,7,0,2,3,14,856
3,0,7,2,3,3,18,857
2,0,6,1,1,2,12,859
2,1,5,1,1,5,15,860
3,0,9,0,0,6,18,863
2,0,4,0,1,3,10,864
3,0,7,2,0,0,12,866
3,0,11,2,0,3,19,867
2,0,8,2,2,2,16,868
2,0,8,0,2,4,16,870
4,0,3,1,0,0,8,871
2,0,7,0,2,3,14,872
2,0,7,0,2,3,14,873
1,0,7,0,2,0,10,874
2,0,7,0,2,3,14,875
3,0,11,2,0,3,19,876
2,0,8,0,2,4,16,877
4,0,9,1,0,3,17,878
1,0,2,0,0,1,4,881
1,1,12,1,0,3,18,882
1,0,12,0,0,3,16,883
0,0,13,2,0,6,21,884
4,2,18,0,1,8,33,885
4,2,6,3,0,5,20,886
1,0,6,1,0,3,11,888
1,0,12,1,0,0,14,890
1,1,14,2,0,3,21,891
0,1,12,0,0,2,15,892
2,0,11,4,0,5,22,893
4,1,6,1,3,6,21,894
4,0,7,0,0,3,14,895
3,0,7,3,1,8,22,896
1,0,2,0,0,1,4,898
1,0,4,1,1,4,11,899
3,0,8,1,0,3,15,902
3,0,10,1,0,2,16,903
3,0,10,1,2,6,22,905
4,2,5,4,1,5,21,906
1,0,2,0,0,1,4,907
2,0,9,0,0,6,17,911
1,3,12,2,1,4,23,912
4,2,17,0,1,8,32,915
1,0,2,0,0,1,4,916
4,2,17,0,1,8,32,919
1,0,11,2,0,6,20,921
5,2,5,3,1,4,20,923
0,0,7,0,0,2,9,926
0,0,11,1,1,2,15,928
1,0,1,1,0,0,3,929
1,0,4,0,0,3,8,930
4,1,6,0,0,3,14,931
6,5,8,3,1,3,26,932
1,1,3,0,0,0,5,934
1,2,0,1,0,1,5,935
2,1,10,1,0,7,21,936
2,0,8,0,2,2,14,938
0,0,9,1,1,0,11,939
1,3,4,1,0,6,15,940
1,1,3,1,0,2,8,941
2,0,5,0,0,1,8,942
4,1,5,0,1,6,17,944
2,0,5,1,2,2,12,945
2,0,6,1,0,1,10,946
0,0,2,0,1,0,3,947
4,1,7,0,0,6,18,948
1,1,13,1,0,2,18,951
4,1,7,2,0,3,17,952
1,1,4,0,2,2,10,953
0,0,12,1,0,0,13,955
3,3,7,1,0,9,23,956
1,0,5,0,1,4,11,957
2,1,1,0,1,0,5,958
1,2,4,1,0,3,11,959
5,2,5,3,1,4,20,960
2,0,9,1,0,2,14,961
1,0,3,1,0,5,10,962
1,1,7,1,0,2,12,963
1,0,9,1,2,3,16,964
1,1,7,1,2,4,16,965
1,1,4,2,3,3,14,968
4,1,3,1,1,2,12,971
3,3,6,1,2,6,21,972
0,0,8,1,0,5,14,974
2,1,1,0,0,2,6,976
0,0,6,0,0,0,6,977
3,0,8,1,0,3,15,978
0,0,7,0,0,1,8,979
2,0,5,2,0,1,10,981
1,0,8,1,0,6,16,982
4,1,7,0,0,8,20,983
0,0,22,0,0,1,23,984
0,0,22,0,0,1,23,985
4,1,3,1,2,2,13,986
2,0,7,3,1,5,18,987
0,0,8,2,0,1,11,990
4,3,7,1,0,5,20,991
1,1,3,0,0,2,7,992
2,0,6,1,1,2,12,993
3,1,4,1,3,3,15,994
0,0,14,0,0,0,14,996
3,0,11,1,0,6,21,997
2,2,7,0,0,4,15,998
0,0,3,1,0,1,5,999
4,2,7,5,0,5,23,1001
2,0,12,0,0,8,22,1002
1,0,9,3,2,8,23,1004
3,2,4,0,0,3,12,1005
1,0,0,0,1,0,2,1006
4,3,4,1,0,6,18,1008
2,2,1,0,0,1,6,1009
8,2,8,1,0,7,26,1010
2,1,11,1,0,0,15,1015
3,2,4,2,0,3,14,1017
1,0,1,1,1,1,5,1018
0,0,9,0,0,2,11,1020
0,0,22,0,0,2,24,1021
4,0,11,0,1,6,22,1022
4,1,10,1,1,5,22,1023
1,2,7,0,0,4,14,1024
3,1,5,1,1,6,17,1026
1,0,4,1,1,2,9,1029
3,1,3,0,2,3,12,1031
3,3,2,0,0,4,12,1032
4,1,5,1,1,2,14,1035
3,1,2,1,2,4,13,1036
5,1,5,0,2,7,20,1037
8,5,6,1,1,4,25,1038
3,3,2,0,1,6,15,1040
3,1,3,3,3,2,15,1041
4,3,5,0,2,1,15,1042
5,0,1,1,3,6,16,1043
1,0,3,0,0,3,7,1044
3,2,3,0,1,0,9,1045
2,1,2,2,2,1,10,1048
6,3,6,2,1,6,24,1049
2,1,2,0,0,0,5,1050
4,2,3,0,0,3,12,1051
1,0,7,1,1,1,11,1052
2,0,2,0,1,2,7,1054
3,3,3,0,1,2,12,1057
4,3,5,2,1,3,18,1058
1,0,4,1,0,1,7,1061
6,3,6,4,1,8,28,1062
3,2,1,0,0,2,8,1065
3,2,4,1,0,3,13,1066
3,2,1,2,1,0,9,1067
1,0,4,1,0,3,9,1069
3,1,4,2,0,4,14,1070
2,0,6,2,1,5,16,1071
6,4,5,0,1,4,20,1072
3,1,2,1,0,0,7,1073
2,1,1,0,1,0,5,1074
3,0,5,1,1,2,12,1075
4,2,3,0,0,2,11,1077
3,1,6,2,0,4,16,1078
1,1,2,1,2,1,8,1079
2,1,3,2,1,1,10,1080
3,1,3,3,0,3,13,1081
2,1,3,0,0,4,10,1082
5,4,3,2,2,4,20,1083
2,1,4,3,3,5,18,1084
6,2,8,2,1,8,27,1085
8,5,4,2,1,6,26,1088
5,5,3,1,2,3,19,1090
7,4,6,3,0,6,26,1091
3,0,5,1,3,5,17,1093
3,0,3,0,0,1,7,1094
1,1,4,0,0,1,7,1098
3,1,4,1,2,4,15,1099
4,3,7,0,1,7,22,1102
1,0,2,0,1,2,6,1103
1,1,1,0,1,3,7,1104
4,0,10,1,3,3,21,1105
4,2,10,3,1,7,27,1106
2,2,1,1,0,2,8,1109
5,3,6,0,1,10,25,1110
0,0,2,0,0,2,4,1112
5,3,4,0,0,5,17,1113
1,0,1,0,1,2,5,1114
0,0,5,0,0,0,5,1117
2,0,5,2,0,5,14,1118
4,1,5,0,1,9,20,1119
3,3,8,0,0,5,19,1120
4,0,4,1,2,4,15,1122
2,1,3,2,1,4,13,1123
1,0,2,0,1,1,5,1124
1,1,3,0,0,1,6,1126
5,3,5,1,2,7,23,1128
2,1,4,2,0,5,14,1129
2,0,7,1,2,11,23,1130
6,1,9,1,1,7,25,1132
0,0,3,0,0,0,3,1134
0,0,2,0,0,0,2,1136
6,4,7,3,2,6,28,1138
2,0,6,0,0,5,13,1139
0,0,8,1,0,2,11,1141
1,0,9,0,0,1,11,1142
3,0,4,0,2,3,12,1143
1,2,13,1,0,5,22,1145
0,0,9,0,0,1,10,1146
2,0,11,1,0,3,17,1149
3,0,2,3,0,2,10,1151
1,0,9,1,0,5,16,1152
1,0,9,0,0,2,12,1153
5,2,6,2,0,8,23,1154
2,0,2,2,0,4,10,1155
1,2,3,0,0,1,7,1156
0,0,5,0,0,0,5,1157
3,2,2,2,3,2,14,1160
1,0,8,1,0,3,13,1162
3,2,14,0,0,2,21,1164
3,1,2,1,0,2,9,1166
4,2,7,0,2,11,26,1167
1,1,11,1,1,4,19,1168
6,1,5,0,2,12,26,1170
4,0,7,2,1,10,24,1173
4,1,5,1,0,8,19,1174
1,0,10,1,1,7,20,1175
2,0,3,1,1,0,7,1177
1,1,1,1,0,0,4,1178
2,2,8,4,1,8,25,1179
1,0,4,0,0,1,6,1181
1,0,8,1,0,3,13,1182
1,0,4,0,1,0,6,1183
5,4,9,1,2,2,23,1185
2,1,11,2,0,5,21,1188
3,2,4,1,2,4,16,1189
4,2,8,2,0,8,24,1190
1,0,1,0,0,0,2,1191
3,1,7,1,0,4,16,1195
4,0,7,0,1,5,17,1196
1,0,1,0,0,0,2,1198
1,0,4,0,0,1,6,1199
2,1,1,2,0,2,8,1201
0,0,4,0,0,0,4,1202
2,1,3,0,1,3,10,1203
0,0,9,0,0,1,10,1204
4,2,3,2,7,4,22,1206
1,0,5,1,0,3,10,1207
0,0,5,0,0,2,7,1208
1,1,1,1,0,1,5,1209
1,2,4,1,0,0,8,1211
2,0,2,0,0,2,6,1212
1,2,3,0,3,3,12,1213
1,0,8,2,0,2,13,1214
1,1,2,0,0,0,4,1215
0,0,6,1,0,1,8,1217
1,1,3,0,0,1,6,1218
1,1,2,0,2,0,6,1219
1,1,2,1,1,0,6,1221
1,3,2,1,0,2,9,1222
0,0,9,0,0,0,9,1223
1,0,6,1,0,0,8,1224
2,2,3,1,0,2,10,1225
2,2,4,1,0,3,12,1226
3,2,10,2,0,10,27,1227
2,0,2,1,0,0,5,1228
0,0,2,0,0,0,2,1229
2,0,6,2,1,1,12,1230
0,0,8,0,0,5,13,1232
7,4,6,1,1,6,25,1234
1,0,9,0,0,9,19,1235
3,1,11,1,0,3,19,1236
5,4,2,0,2,6,19,1237
3,3,1,0,0,1,8,1238
